,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1077,13746300,Cozy Garden Unit Located in North Center,46939427,Anthony,,North Center,41.95521,-87.68862,Entire home/apt,132,2,26,2020-09-06,0.51,6,364
6260,45205102,Two Bedrooms Apartment,328148779,Nicolas,,Fuller Park,41.81305,-87.63102,Entire home/apt,79,2,0,,,3,173
2760,27169700,Vintage 3BR Apartment in Logan Square,22059529,Michael,,Logan Square,41.92247,-87.71532,Entire home/apt,68,2,14,2020-09-12,3.36,1,208
1303,15662488,Lincoln Park! Walk Beach/Zoo!  Free Parking!  OBO,76244,Chris,,Lincoln Park,41.92017,-87.64218,Entire home/apt,200,1,31,2020-08-30,0.66,2,365
5650,42920816,"Sleek West Loop 1BR w/ Gym, Pool, near Fulton Market, by Blueground",107434423,Blueground,,Near West Side,41.88268,-87.65168,Entire home/apt,135,30,1,2020-06-30,0.36,205,324
2393,24447062,Roscoe Village One Bed Lux Apartment  Near Wrigley,170810755,Dennis,,North Center,41.94264,-87.67616,Entire home/apt,99,1,140,2020-03-09,5.04,1,325
2302,23754213,ROOM SERVICE  EVERTY 2 DAYS- KING BED- MIL PARK,137690443,Gracie,,Loop,41.88714,-87.6176,Entire home/apt,400,2,12,2019-08-22,0.41,1,0
5281,41552402,"Spacious Gold Coast 1BR, w/ W/D, Gym nr Magnificent Mile by Blueground",107434423,Blueground,,Near North Side,41.8989,-87.62797,Entire home/apt,116,30,0,,,205,317
1183,14815127,Downtown LAKEVIEW  HUGE PENTHOUSE STYLE - POOL,55199486,Furnished Rental,,Near North Side,41.89436,-87.6172,Entire home/apt,150,31,1,2018-03-18,0.03,15,365
5076,40692314,"Dreamy Streeterville 1BR w/ Lake Views, Pool, Deck, Gym, by Blueground",107434423,Blueground,,Near North Side,41.89825,-87.61868,Entire home/apt,189,30,0,,,205,143
2844,27637596,Desert Skylight,4847500,Christine,,West Town,41.90914,-87.69575,Entire home/apt,65,1,22,2019-03-14,0.89,2,0
545,6897078,Stylish First Flr. Studio. Best Location Division+Hermitage.,36140345,Melissa,,West Town,41.90281,-87.67216,Entire home/apt,132,3,139,2020-06-20,2.25,2,350
5975,44126353,Kasa Chicago King Studio River North Apartment,88566861,Kasa,,Near North Side,41.89461,-87.62813,Entire home/apt,164,3,19,2020-09-14,8.14,45,360
5908,43849072,"Steps to Shop, Eat, Train | Easy Access | Zencity",47172572,Zencity,,West Town,41.89817,-87.67234,Entire home/apt,63,1,9,2020-09-13,3.18,62,155
3152,29655240,!Renovated and clean downtown home!,223206607,Michael,,Near West Side,41.88058,-87.64551,Entire home/apt,104,1,130,2020-09-14,5.75,1,26
2858,27736366,luxury high rise,209412104,Michael,,Near North Side,41.89131,-87.62244,Entire home/apt,300,2,2,2018-09-16,0.08,1,0
256,3267902,Ravenswood Guest House Annex,2676165,Richard,,Edgewater,41.9895,-87.66685,Entire home/apt,89,2,274,2020-09-07,3.58,1,203
5817,43481232,"Steps to MI Ave Shops | View, Beach, Gym | Zen@OED",47172572,Zencity,,Near North Side,41.89829,-87.62683,Entire home/apt,99,1,17,2020-09-16,4.81,62,132
2678,26516112,Brand new stylish apt- with all the cozy comforts!,73118105,Caitlin,,Logan Square,41.91577,-87.7051,Entire home/apt,80,2,31,2020-03-24,1.24,1,173
6294,45289275,Beautiful and stylish studio for Cubs visitors ⚾️,324740940,Andrea,,Uptown,41.95491,-87.65027,Entire home/apt,79,1,0,,,4,365
1336,15900374,Large Serene Artist's One Bedroom in Logan Square,18417574,Ambrosia,,Logan Square,41.92942,-87.71136,Entire home/apt,55,1,15,2018-01-15,0.43,1,0
5382,41910355,"Mod West Loop Studio w/ Gym, Pool, nr. Restaurant Row, by Blueground",107434423,Blueground,,Near West Side,41.88306,-87.65131,Entire home/apt,112,30,0,,,205,364
2521,25269337,Wicker park,45483851,Angelique,,West Town,41.91039,-87.69091,Entire home/apt,157,2,8,2020-03-16,0.65,1,82
3519,32939158,Old Town + Lincoln Park Walkers Dream!,63936686,Alex,,Lincoln Park,41.91615,-87.63605,Entire home/apt,116,2,103,2020-08-26,5.57,2,281
5684,42950813,The Hive 1BR Apartment - Book 6 nights get 1 FREE,175391883,Cloud9,,Near South Side,41.8553,-87.62273,Entire home/apt,125,2,1,2020-08-13,0.75,4,100
4456,38346660,Hip River North 1BR w/ Pool + Roof Deck near Mag Mile by Blueground,107434423,Blueground,,Near North Side,41.89502,-87.62791,Entire home/apt,152,30,0,,,205,294
3556,33040788,Loft Suite in Boutique Hotel Near Mag Mile,238417227,Ambassador,,Near North Side,41.90482,-87.62859,Hotel room,174,2,0,,,6,42
2980,28511827,Romantic Queen Room in Boutique Wicker Park B&B,81779,Laura,,West Town,41.90713,-87.67194,Hotel room,129,1,1,2019-04-06,0.06,11,340
2274,23578326,Gritty Chic River North - ACME Hotel,176229376,Acme,,Near North Side,41.89299,-87.62788,Hotel room,110,1,117,2020-08-17,3.88,3,66
4144,36667074,Steps from Mag Mile - King Bed Boutique Hotel,265201380,St Jane,,Loop,41.88714,-87.62413,Hotel room,9999,1,32,2020-03-22,2.27,3,168
126,1361421,Wrigley Hostel - Queen Bed Room,7391164,Wrigley Hostel,,Lake View,41.9459,-87.65461,Hotel room,105,1,33,2020-08-07,0.41,5,365
1345,15957773,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,,Near North Side,41.89235,-87.62732,Hotel room,31,7,12,2020-01-10,0.3,24,330
3790,34624805,Hotel Perks - Private Bedroom | Private Bathroom,57387860,Freehand,,Near North Side,41.89127,-87.62822,Hotel room,98,1,2,2020-02-18,0.14,24,331
371,4793938,2BD Suite @ The Guesthouse Hotel,24705990,Rick,,Uptown,41.97106,-87.66777,Hotel room,270,2,57,2020-07-14,0.84,12,362
3291,30817981,Hotel Quality Meets Local Living King Room 3C,16090300,John,,West Town,41.90221,-87.67206,Hotel room,128,1,4,2020-08-16,0.19,10,123
1425,16975615,Hotel Perks - Private Bedroom | Private Bathroom,57387860,Freehand,,Near North Side,41.89235,-87.62732,Hotel room,98,7,49,2020-03-13,1.22,24,331
2978,28511620,Peaceful King Room in Boutique Wicker Park B&B,81779,Laura,,West Town,41.90712,-87.67359,Hotel room,140,1,0,,,11,347
2297,23683517,Gritty Chic River North --- ACME Hotel,176229376,Acme,,Near North Side,41.89177,-87.61701,Hotel room,169,1,87,2020-08-16,2.88,3,264
5722,43078540,Found Hotel Chicago River North,315027620,Found Hotel Chicago River North,,Near North Side,41.89288,-87.63377,Hotel room,0,1,0,,,1,0
126,1361421,Wrigley Hostel - Queen Bed Room,7391164,Wrigley Hostel,,Lake View,41.9459,-87.65461,Hotel room,105,1,33,2020-08-07,0.41,5,365
2973,28510810,Sun-Filled King Room in Boutique Wicker Park B&B,81779,Laura,,West Town,41.90778,-87.67357,Hotel room,143,1,0,,,11,329
3434,32236235,Sunny Bunk Room with balcony - steps to Wrigley!,209354894,Wheelhouse,,Lake View,41.94517,-87.65451,Hotel room,131,1,3,2020-08-14,0.22,5,10
3820,34785627,Female Only - 1 Bed in a Shared Bedroom,57387860,Freehand,,Near North Side,41.89319,-87.62832,Hotel room,31,1,24,2020-09-19,1.52,24,331
3435,32236587,Double Queen at The Wheelhouse Hotel,209354894,Wheelhouse,,Lake View,41.94663,-87.65525,Hotel room,128,1,6,2020-08-28,0.34,5,14
